,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
212,208,9200000000,Charles Schwab,85.0,United States,Woodside,Discount brokerage,Finance & Investments,United States,True,M,1937-07-29 00:00:00
213,208,9200000000,Eric Smidt,63.0,United States,Beverly Hills,Hardware stores,Fashion & Retail,United States,True,M,1960-01-01 00:00:00
214,215,9000000000,David Cheriton,72.0,United States,Palo Alto,Google,Technology,Canada,True,M,1951-03-29 00:00:00
215,215,9000000000,Ivan Glasenberg,66.0,Switzerland,Ruschlikon,Mining,Metals & Mining,Switzerland,True,M,1957-01-07 00:00:00
216,215,9000000000,Alexander Otto,55.0,Germany,Hamburg,Real estate,Real Estate,Germany,False,M,1967-07-07 00:00:00
217,215,9000000000,Anthony von Mandl,73.0,Canada,Vancouver,Alcoholic beverages,Food & Beverage,Canada,True,M,1950-03-10 00:00:00
218,215,9000000000,Wang Liping & family,57.0,China,Changzhou,Hydraulic machinery,Manufacturing,China,True,M,1966-02-24 00:00:00
219,220,8900000000,Finn Rausing,68.0,United Kingdom,London,Packaging,Food & Beverage,Sweden,False,M,1955-01-01 00:00:00
220,220,8900000000,Jorn Rausing,63.0,United Kingdom,Surrey,Packaging,Food & Beverage,Sweden,False,M,1960-01-01 00:00:00
221,220,8900000000,Kirsten Rausing,70.0,United Kingdom,Newmarket,Packaging,Food & Beverage,Sweden,False,F,1952-06-06 00:00:00
222,223,8800000000,Tatyana Bakalchuk,47.0,Russia,Moscow region,Ecommerce,Fashion & Retail,Russia,True,F,1975-10-16 00:00:00
223,223,8800000000,John Doerr,71.0,United States,Woodside,Venture capital,Technology,United States,True,M,1951-06-29 00:00:00
224,223,8800000000,Richard Liu,49.0,China,Beijing,E-commerce,Technology,China,True,M,1974-03-10 00:00:00
225,223,8800000000,Dustin Moskovitz,38.0,United States,San Francisco,Facebook,Technology,United States,True,M,1984-05-22 00:00:00
226,223,8800000000,Pierre Omidyar,55.0,United States,Honolulu,"EBay, PayPal",Technology,United States,True,M,1967-06-21 00:00:00
227,223,8800000000,Pei Zhenhua,64.0,China,Ningde,Batteries,Energy,China,True,M,1959-01-01 00:00:00
228,223,8800000000,Carrie Perrodo & family,72.0,United Kingdom,London,Oil,Energy,France,False,F,1951-01-01 00:00:00
229,230,8700000000,Chen Jianhua,52.0,China,Wujiang,Chemicals,Manufacturing,China,True,M,1971-01-01 00:00:00
230,230,8700000000,Michael Otto,79.0,Germany,Hamburg,"Retail, real estate",Fashion & Retail,Germany,False,M,1943-04-12 00:00:00
231,232,8600000000,Leon Black,71.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1951-07-31 00:00:00
232,232,8600000000,Graeme Hart,67.0,New Zealand,Auckland,Investments,Finance & Investments,New Zealand,True,M,1955-06-06 00:00:00
233,232,8600000000,Ravi Jaipuria,68.0,India,Delhi,"Soft drinks, fast food",Food & Beverage,India,False,M,1954-11-28 00:00:00
234,232,8600000000,Hasso Plattner & family,79.0,Germany,Heidelberg,Software,Technology,Germany,True,M,1944-01-21 00:00:00
235,232,8600000000,Carlos Alberto Sicupira & family,75.0,Switzerland,St. Gallen,Beer,Food & Beverage,Brazil,True,M,1948-01-01 00:00:00
236,232,8600000000,Manuel Villar,73.0,Philippines,Manila,Real estate,Real Estate,Philippines,True,M,1949-12-13 00:00:00
237,232,8600000000,Andreas von Bechtolsheim & family,67.0,United States,Palo Alto,Google,Technology,Germany,True,M,1955-09-30 00:00:00
238,239,8500000000,"Chase Coleman, III.",47.0,United States,New York,Investments,Finance & Investments,United States,True,M,1975-06-21 00:00:00
239,239,8500000000,Ann Walton Kroenke,74.0,United States,Electra,Walmart,Fashion & Retail,United States,False,F,1948-12-18 00:00:00
240,239,8500000000,Li Zhenguo & family,55.0,China,Xi'an,Solar wafers and modules,Manufacturing,China,True,M,1968-01-01 00:00:00
241,242,8400000000,Jim Kennedy,75.0,United States,Atlanta,"Media, automotive",Media & Entertainment,United States,False,M,1947-11-29 00:00:00
242,242,8400000000,Nicky Oppenheimer & family,77.0,South Africa,Johannesburg,Diamonds,Metals & Mining,South Africa,False,M,1945-06-08 00:00:00
243,242,8400000000,Blair Parry-Okeden,72.0,Australia,New South Wales,"Media, automotive",Media & Entertainment,United States,False,F,1950-05-21 00:00:00
244,242,8400000000,Zheng Shuliang & family,77.0,China,Binzhou,Aluminum products,Metals & Mining,China,False,F,1946-01-01 00:00:00
245,246,8300000000,John Morris,75.0,United States,Springfield,Sporting goods retail,Fashion & Retail,United States,True,M,1948-03-19 00:00:00
246,246,8300000000,Stefano Pessina,81.0,Monaco,Monte Carlo,Drugstores,Fashion & Retail,Monaco,False,M,1941-06-04 00:00:00
247,246,8300000000,Francine von Finck & family,,Switzerland,Thurgau,Investments,Finance & Investments,Germany,False,F,
248,249,8200000000,Francis Choi,75.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1947-09-18 00:00:00
249,249,8200000000,German Khan,61.0,Russia,Moscow,"Oil, banking, telecom",Energy,Russia,True,M,1961-10-24 00:00:00
250,249,8200000000,Abdulsamad Rabiu,62.0,Nigeria,Lagos,"Cement, sugar",Diversified,Nigeria,False,M,1960-08-04 00:00:00
251,249,8200000000,George Roberts,79.0,United States,Atherton,Private equity,Finance & Investments,United States,True,M,1943-09-14 00:00:00
252,249,8200000000,Kushal Pal Singh,91.0,India,Delhi,Real estate,Real Estate,India,False,M,1931-08-15 00:00:00
253,249,8200000000,Wang Jianlin,68.0,China,Beijing,Real estate,Real Estate,China,True,M,1954-10-01 00:00:00
254,249,8200000000,Yang Huiyan & family,41.0,China,Foshan,Real estate,Real Estate,China,False,F,1981-09-27 00:00:00
255,256,8100000000,Laurent Dassault,69.0,France,Paris,Diversified,Diversified,France,False,M,1953-07-07 00:00:00
256,256,8100000000,Thierry Dassault,66.0,France,Paris,Diversified,Diversified,France,False,M,1957-03-26 00:00:00
257,256,8100000000,Tilman Fertitta,65.0,United States,Houston,"Houston Rockets, entertainment",Food & Beverage,United States,True,M,1957-06-25 00:00:00
258,256,8100000000,Marie-Hélène Habert-Dassault,58.0,France,Paris,Diversified,Diversified,France,False,F,1965-04-04 00:00:00
259,256,8100000000,Karel Komarek,54.0,Switzerland,Verbier,"Oil and gas, IT, lotteries",Gambling & Casinos,Czech Republic,True,M,1969-03-15 00:00:00
260,261,8000000000,Nathan Blecharczyk,39.0,United States,San Francisco,Airbnb,Technology,United States,True,M,1983-06-11 00:00:00
261,261,8000000000,Leonid Fedun,66.0,Russia,Moscow,Oil,Energy,Russia,True,M,1956-04-05 00:00:00
262,261,8000000000,Bernard Marcus,93.0,United States,Atlanta,Home Depot,Fashion & Retail,United States,True,M,1929-05-12 00:00:00
263,261,8000000000,Patrick Ryan,85.0,United States,Winnetka,Insurance,Finance & Investments,United States,True,M,1937-05-15 00:00:00
264,261,8000000000,Robert F. Smith,60.0,United States,Austin,Private equity,Finance & Investments,United States,True,M,1962-12-01 00:00:00
265,261,8000000000,Pavel Tykac,58.0,Czech Republic,Prague,Coal mines,Metals & Mining,Czech Republic,True,M,1964-05-15 00:00:00
266,261,8000000000,Eric Wittouck,76.0,Monaco,,Investments,Finance & Investments,Belgium,False,M,1946-10-01 00:00:00
267,268,7900000000,Orlando Bravo,52.0,United States,Miami Beach,Private equity,Finance & Investments,United States,True,M,1970-09-23 00:00:00
268,268,7900000000,Ding Shizhong,52.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,True,M,1970-12-01 00:00:00
269,268,7900000000,Nancy Walton Laurie,71.0,United States,Henderson,Walmart,Fashion & Retail,United States,False,F,1951-05-15 00:00:00
270,268,7900000000,Jay Y. Lee,54.0,South Korea,Seoul,Samsung,Technology,South Korea,False,M,1968-06-23 00:00:00
271,268,7900000000,Ramzi Musallam,54.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1968-09-17 00:00:00
272,268,7900000000,David Shaw,72.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,1951-03-29 00:00:00
273,268,7900000000,Andrei Skoch & family,57.0,Russia,Moscow,Metals and mining,Metals & Mining,Russia,True,M,1966-01-30 00:00:00
274,268,7900000000,Georg Stumpf,50.0,Austria,Vienna,"Real estate, construction",Diversified,Austria,True,M,1972-09-14 00:00:00
275,276,7800000000,Rocco Commisso,73.0,United States,Saddle River,Telecom,Telecom,United States,True,M,1949-11-25 00:00:00
276,276,7800000000,Li Shuirong & family,66.0,China,Hangzhou,Petrochemicals,Manufacturing,China,True,M,1956-07-01 00:00:00
277,276,7800000000,Lin Shu-hong,94.0,Taiwan,Taipei,Petrochemicals,Manufacturing,Taiwan,True,M,1928-08-01 00:00:00
278,276,7800000000,Qi Shi & family,53.0,China,Shanghai,Financial information,Technology,China,True,M,1970-01-03 00:00:00
279,276,7800000000,Yao Liangsong,58.0,China,Guangzhou,Furniture,Manufacturing,China,True,M,1964-08-01 00:00:00
280,276,7800000000,Zhang Congyuan,75.0,Taiwan,Taoyuan,Shoes,Fashion & Retail,Taiwan,True,M,1948-01-01 00:00:00
281,282,7700000000,Jean-Michel Besnier,55.0,France,Laval,Cheese,Food & Beverage,France,False,M,1967-06-05 00:00:00
282,282,7700000000,Marie Besnier Beauvalot,42.0,France,Laval,Cheese,Food & Beverage,France,False,F,1980-07-30 00:00:00
283,282,7700000000,David Geffen,80.0,United States,Beverly Hills,"Movies, record labels",Media & Entertainment,United States,True,M,1943-02-21 00:00:00
284,282,7700000000,Robin Li,54.0,China,Beijing,Internet search,Technology,China,True,M,1968-11-17 00:00:00
285,282,7700000000,Liu Yonghao & family,71.0,China,Chengdu,Agribusiness,Service,China,True,M,1951-09-01 00:00:00
286,282,7700000000,Henry Samueli,68.0,United States,Newport Beach,Semiconductors,Technology,United States,True,M,1954-09-20 00:00:00
287,282,7700000000,Reinhold Schmieding,68.0,United States,Naples,Medical devices,Healthcare,United States,True,M,1955-01-03 00:00:00
288,282,7700000000,Ivar Tollefsen,61.0,Norway,Oslo,Real estate,Real Estate,Norway,True,M,1961-06-23 00:00:00
289,290,7600000000,Cao Renxian,54.0,China,Hefei,Photovoltaic equipment,Energy,China,True,M,1968-07-24 00:00:00
290,290,7600000000,Hasmukh Chudgar & family,89.0,India,Ahmedabad,Pharmaceuticals,Healthcare,India,True,M,1933-09-19 00:00:00
291,290,7600000000,Andrew Currie,67.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,M,1955-12-04 00:00:00
292,290,7600000000,Joe Gebbia,41.0,United States,Austin,Airbnb,Technology,United States,True,M,1981-08-21 00:00:00
293,290,7600000000,Philip Ng,64.0,Singapore,Singapore,Real Estate,Real Estate,Singapore,False,M,1959-01-01 00:00:00
294,290,7600000000,John Reece,66.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,M,1957-03-07 00:00:00
295,290,7600000000,Leonard Stern,85.0,United States,New York,Real estate,Real Estate,United States,False,M,1938-03-28 00:00:00
296,290,7600000000,Joseph Tsai,59.0,Hong Kong,Hong Kong,E-commerce,Technology,Canada,True,M,1964-01-19 00:00:00
297,290,7600000000,Zhong Huijuan,62.0,China,Shanghai,Pharmaceuticals,Healthcare,China,True,F,1961-01-01 00:00:00
298,299,7500000000,Arthur Blank,80.0,United States,Atlanta,Home Depot,Sports,United States,True,M,1942-09-27 00:00:00
299,299,7500000000,Charles Butt,85.0,United States,San Antonio,Supermarkets,Fashion & Retail,United States,False,M,1938-02-03 00:00:00
300,299,7500000000,Ding Shijia,59.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,True,M,1964-01-01 00:00:00
301,299,7500000000,"Paul Tudor Jones, II.",68.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,M,1954-09-28 00:00:00
302,299,7500000000,Henry Kravis,79.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1944-01-06 00:00:00
303,299,7500000000,Zhang Yong,52.0,Singapore,Singapore,Restaurants,Food & Beverage,Singapore,True,M,1970-07-01 00:00:00
304,305,7400000000,James Goodnight,80.0,United States,Cary,Software,Technology,United States,True,M,1943-01-06 04:00:00
305,305,7400000000,Sri Prakash Lohia,70.0,United Kingdom,London,Petrochemicals,Manufacturing,Indonesia,False,M,1952-08-11 00:00:00
306,305,7400000000,Ma Jianrong,59.0,China,Ningbo,"Textiles, apparel",Fashion & Retail,China,True,M,1964-01-01 00:00:00
307,305,7400000000,Robert Ng,71.0,Singapore,Singapore,Real estate,Real Estate,Singapore,False,M,1952-01-01 00:00:00
308,305,7400000000,Steven Rales,72.0,United States,Santa Barbara,"Manufacturing, investments",Manufacturing,United States,True,M,1951-03-31 00:00:00
309,305,7400000000,Nassef Sawiris,62.0,Egypt,Cairo,"Construction, investments",Construction & Engineering,Egypt,False,M,1961-01-19 00:00:00
310,305,7400000000,Harry Stine,81.0,United States,Adel,Agriculture,Food & Beverage,United States,True,M,1941-11-30 00:00:00
311,312,7300000000,Benu Gopal Bangur,91.0,India,Kolkata,Cement,Manufacturing,India,False,M,1931-06-01 00:00:00
312,312,7300000000,Iskander Makhmudov,59.0,Russia,Moscow,"Mining, metals, machinery",Metals & Mining,Russia,True,M,1963-12-05 00:00:00
313,312,7300000000,Anders Holch Povlsen,50.0,Denmark,Aarhus,Fashion retail,Fashion & Retail,Denmark,False,M,1972-11-04 00:00:00
314,312,7300000000,Enrique Razon Jr.,63.0,Philippines,Manila,Ports,Logistics,Philippines,False,M,1960-03-03 00:00:00
315,312,7300000000,Wang Laichun,55.0,China,Shenzhen,Electronics components,Technology,Hong Kong,True,F,1967-06-03 00:00:00
316,317,7200000000,Arthur Dantchik,65.0,United States,Gladwyne,"Trading, investments",Finance & Investments,United States,True,M,1957-11-25 00:00:00
317,317,7200000000,Terry Gou,72.0,Taiwan,Taipei,Electronics,Technology,Taiwan,True,M,1950-10-18 00:00:00
318,317,7200000000,Jeff Greene,68.0,United States,Palm Beach,"Real estate, investments",Real Estate,United States,True,M,1954-12-10 00:00:00
319,317,7200000000,Don Hankey,79.0,United States,Malibu,Auto loans,Finance & Investments,United States,True,M,1943-06-13 00:00:00
320,317,7200000000,Richard Kinder,78.0,United States,Houston,Pipelines,Energy,United States,True,M,1944-10-19 00:00:00
321,317,7200000000,Guillaume Pousaz,41.0,United Arab Emirates,Dubai,Fintech,Finance & Investments,Switzerland,True,M,1981-08-15 00:00:00
322,317,7200000000,Takahisa Takahara,61.0,Japan,Tokyo,Personal care goods,Fashion & Retail,Japan,False,M,1961-07-12 00:00:00
323,317,7200000000,Zong Qinghou,77.0,China,Hangzhou,Beverages,Food & Beverage,China,True,M,1945-10-01 00:00:00
324,325,7100000000,Judy Faulkner,79.0,United States,Madison,Healthcare software,Technology,United States,True,F,1943-08-01 00:00:00
325,325,7100000000,Johann Graf,76.0,Austria,Vienna,Gambling,Gambling & Casinos,Austria,True,M,1947-01-03 00:00:00
326,325,7100000000,Tamara Gustavson,61.0,United States,Lexington,Self storage,Service,United States,False,F,1961-11-16 00:00:00
327,325,7100000000,Liang Wengen,66.0,China,Changsha,Construction equipment,Manufacturing,China,True,M,1956-12-14 00:00:00
328,325,7100000000,Frederik Paulsen,72.0,Switzerland,Lausanne,Health care,Healthcare,Sweden,False,M,1950-10-30 00:00:00
329,325,7100000000,Wee Cho Yaw,94.0,Singapore,Singapore,Banking,Finance & Investments,Singapore,False,M,1929-01-10 00:00:00
330,325,7100000000,Zhang Hejun,71.0,China,Ningbo,Electronics,Manufacturing,China,True,M,1952-01-01 00:00:00
331,332,7000000000,Marc Benioff,58.0,United States,San Francisco,Business software,Technology,United States,True,M,1964-09-25 00:00:00
332,332,7000000000,Dmitri Bukhman,37.0,United Kingdom,London,Online games,Media & Entertainment,Israel,True,M,1985-05-27 00:00:00
333,332,7000000000,Igor Bukhman,41.0,United Kingdom,London,Online games,Media & Entertainment,Israel,True,M,1982-03-29 00:00:00
334,332,7000000000,Jack Dangermond,77.0,United States,Redlands,Mapping software,Technology,United States,True,M,1945-07-23 00:00:00
335,332,7000000000,Ashwin Dani & family,80.0,India,Mumbai,Paints,Manufacturing,India,False,M,1942-10-24 00:00:00
336,332,7000000000,Ralph Lauren,83.0,United States,New York,Apparel,Fashion & Retail,United States,True,M,1939-10-14 00:00:00
337,332,7000000000,Law Kar Po,74.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,M,1948-08-02 00:00:00
338,332,7000000000,Rohiqa Cyrus Mistry,55.0,India,Mumbai,Diversified,Diversified,India,False,F,1967-06-06 00:00:00
339,332,7000000000,Shapoor Mistry,58.0,India,Mumbai,Diversified,Diversified,Ireland,False,M,1964-09-06 00:00:00
340,332,7000000000,J. Christopher Reyes,69.0,United States,Hobe Sound,Food distribution,Food & Beverage,United States,True,M,1953-12-29 00:00:00
341,332,7000000000,Jude Reyes,67.0,United States,Palm Beach,Food distribution,Food & Beverage,United States,True,M,1955-09-16 00:00:00
342,332,7000000000,Don Vultaggio & family,71.0,United States,Port Washington,Beverages,Food & Beverage,United States,True,M,1952-02-26 00:00:00
343,344,6900000000,Alejandro Bailleres Gual & family,62.0,Mexico,,Diversified,Diversified,Mexico,False,M,1961-01-01 00:00:00
344,344,6900000000,Edythe Broad & family,87.0,United States,Los Angeles,"Homebuilding, insurance",Diversified,United States,False,F,1936-01-01 00:00:00
345,344,6900000000,Pauline MacMillan Keinath,89.0,United States,St. Louis,Cargill,Food & Beverage,United States,False,F,1934-01-01 00:00:00
346,344,6900000000,Philippe Laffont,55.0,United States,New York,Hedge fund,Finance & Investments,United States,True,M,1967-09-16 00:00:00
347,344,6900000000,Liu Jincheng & family,58.0,China,Huizhou,Lithium batteries,Technology,China,True,M,1964-09-22 00:00:00
348,344,6900000000,Igor Olenicoff,80.0,United States,Lighthouse Point,Real estate,Real Estate,United States,True,M,1942-09-20 00:00:00
349,344,6900000000,Sandra Ortega Mera,54.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,False,F,1968-07-09 00:00:00
350,344,6900000000,Ronda Stryker,68.0,United States,Portage,Medical equipment,Healthcare,United States,False,F,1954-05-01 00:00:00
351,352,6800000000,Dannine Avara,59.0,United States,Houston,Pipelines,Energy,United States,False,F,1964-03-09 00:00:00
352,352,6800000000,Silvio Berlusconi & family,86.0,Italy,Milan,Media,Diversified,Italy,True,M,1936-09-29 00:00:00
353,352,6800000000,Denise Coates,55.0,United Kingdom,Stoke-on-Trent,Online gambling,Gambling & Casinos,United Kingdom,True,F,1967-09-26 00:00:00
354,352,6800000000,Scott Duncan,40.0,United States,Houston,Pipelines,Energy,United States,False,M,1982-11-01 00:00:00
355,352,6800000000,Milane Frantz,53.0,United States,Houston,Pipelines,Energy,United States,False,F,1969-08-12 00:00:00
356,352,6800000000,"Edward Johnson, IV.",58.0,United States,Boston,Fidelity,Finance & Investments,United States,False,M,1964-11-18 00:00:00
357,352,6800000000,Yuri Milner,61.0,United States,Los Altos,Tech investments,Finance & Investments,Israel,True,M,1961-11-11 00:00:00
358,352,6800000000,Gordon Moore,94.0,United States,Woodside,Intel,Technology,United States,True,M,1929-01-03 00:00:00
359,352,6800000000,John Overdeck,53.0,United States,Millburn,Hedge funds,Finance & Investments,United States,True,M,1969-12-21 00:00:00
